width,offset,ext_offset,repeat,status,clean_output,output,fault_byte_count,fault_byte_positions_0_indexed
1,-5,62,500,normal,010706050d030201,010706050d030201,0,
1,-5,63,500,normal,010706050d030201,010706050d030201,0,
1,-4,62,500,normal,010706050d030201,010706050d030201,0,
1,-4,63,500,normal,010706050d030201,010706050d030201,0,
1,-3,62,500,normal,010706050d030201,010706050d030201,0,
1,-3,63,500,normal,010706050d030201,010706050d030201,0,
1,-2,62,500,normal,010706050d030201,010706050d030201,0,
1,-2,63,500,normal,010706050d030201,010706050d030201,0,
1,-1,62,500,normal,010706050d030201,010706050d030201,0,
1,-1,63,500,normal,010706050d030201,010706050d030201,0,
2,-5,62,500,no_response,010706050d030201,,0,
2,-5,63,500,no_response,010706050d030201,,0,
2,-4,62,500,no_response,010706050d030201,,0,
2,-4,63,500,no_response,010706050d030201,,0,
2,-3,62,500,no_response,010706050d030201,,0,
2,-3,63,500,no_response,010706050d030201,,0,
2,-2,62,500,normal,010706050d030201,010706050d030201,0,
2,-2,63,500,normal,010706050d030201,010706050d030201,0,
2,-1,62,500,normal,010706050d030201,010706050d030201,0,
2,-1,63,500,normal,010706050d030201,010706050d030201,0,
3,-5,62,500,no_response,010706050d030201,,0,
3,-5,63,500,no_response,010706050d030201,,0,
3,-4,62,500,normal,010706050d030201,010706050d030201,0,
3,-4,63,500,normal,010706050d030201,010706050d030201,0,
3,-3,62,500,normal,010706050d030201,010706050d030201,0,
3,-3,63,500,normal,010706050d030201,010706050d030201,0,
3,-2,62,500,normal,010706050d030201,010706050d030201,0,
3,-2,63,500,normal,010706050d030201,010706050d030201,0,
3,-1,62,500,normal,010706050d030201,010706050d030201,0,
3,-1,63,500,normal,010706050d030201,010706050d030201,0,
